county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day,
Warrick,OHIO 09,Public Question-Const Amendment,,,No,212,11,153,48,
Warrick,OHIO 09,President,,REP,Donald J. Trump,314,4,237,73,
Warrick,OHIO 09,President,,DEM,Kamala D. Harris,176,22,118,47,
Warrick,OHIO 09,President,,LIB,Chase Oliver,5,0,5,0,
Warrick,OHIO 09,President,,WTP,Robert F. Kennedy Jr.,8,1,4,4,
Warrick,OHIO 09,President,,,Write-In,2,0,1,0,
Warrick,OHIO 09,U.S. Senate,,REP,Jim Banks,319,5,244,69,
Warrick,OHIO 09,U.S. Senate,,DEM,Valerie McCray,165,19,105,41,
Warrick,OHIO 09,U.S. Senate,,LIB,Andrew Horning,12,2,4,6,
Warrick,OHIO 09,Governor,,REP,Mike Braun,313,6,242,66,
Warrick,OHIO 09,Governor,,DEM,Jennifer G. McCormick,184,22,114,48,
Warrick,OHIO 09,Governor,,LIB,Donald Rainwater II,8,0,4,4,
Warrick,OHIO 09,Attorney General,,REP,Todd Rokita,328,6,250,72,
Warrick,OHIO 09,Attorney General,,DEM,Destiny Wells,176,19,108,49,
Warrick,OHIO 09,U.S. House,8,REP,Mark Messmer,323,4,246,73,
Warrick,OHIO 09,U.S. House,8,DEM,Erik Hurt,168,20,106,42,
Warrick,OHIO 09,U.S. House,8,LIB,S. Richard Fitzlaff,12,2,6,4,
Warrick,OHIO 09,State Senate,50,REP,Vaneta Becker,371,9,279,83,
Warrick,OHIO 09,State Senate,50,IND,John Woodard,73,4,44,25,
Warrick,OHIO 09,State House,78,REP,Tim O'Brien,382,9,282,94,
Warrick,OHIO 09,Judge Superior Court No. 1,,REP,Kristina Hamby (Krista) Weiberg,384,9,283,95,
Warrick,OHIO 09,Judge Superior Court No. 2,,REP,Brett Michael Roy,383,7,282,94,
Warrick,OHIO 09,Clerk Of The Circuit Court,,REP,Mike Wilson,381,6,282,93,
Warrick,OHIO 09,County Recorder,,REP,Patricia (Patty) Perry,385,7,283,95,
Warrick,OHIO 09,County Treasurer,,REP,Tabitha Heilman,380,7,279,94,
Warrick,OHIO 09,County Coroner,,REP,Alissa (Salee) Enright,383,7,281,95,
Warrick,OHIO 09,County Surveyor,,REP,Dennis Witzbacher,380,7,280,93,
Warrick,OHIO 09,County Commissioner Dist 1,,REP,Sarah Hollis-Sexton,320,17,243,71,
Warrick,OHIO 09,County Commissioner Dist 1,,DEM,John T. Mattingly,180,17,114,49,
Warrick,OHIO 09,County Commissioner Dist 3,,REP,Stacey Franz,322,5,245,72,
Warrick,OHIO 09,County Commissioner Dist 3,,DEM,Trent Curtis,172,18,108,45,
Warrick,OHIO 09,County Council At-Large,,REP,Ron Bacon,303,6,226,71,
Warrick,OHIO 09,County Council At-Large,,REP,Patricia Pat (McIntyre) Brooks,278,3,210,65,
Warrick,OHIO 09,County Council At-Large,,REP,Brad Overton,278,3,209,66,
Warrick,OHIO 09,County Council At-Large,,DEM,Mason Barclay,178,16,110,52,
Warrick,OHIO 09,Warrick County School Board,,NP,Lynda G. Glover,170,10,119,39,
Warrick,OHIO 09,Warrick County School Board,,NP,Robert (Bobby) Howard,83,4,58,21,
Warrick,OHIO 09,Warrick County School Board,,NP,Brenda K. Metzger,194,7,129,58,
Warrick,OHIO 09,Warrick County School Board,,NP,Tim Mosbey,194,6,137,51,
Warrick,OHIO 09,Warrick County School Board,,NP,James (Jim) Post,220,5,166,48,
Warrick,OHIO 09,Warrick County School Board,,NP,Andrew E. Skinner,210,5,153,52,
Warrick,OHIO 09,IN Supreme Court-Rush,,,Yes,277,10,195,72,
Warrick,OHIO 09,IN Supreme Court-Rush,,,No,108,8,76,24,
Warrick,OHIO 09,IN Supreme Court-Massa,,,Yes,265,15,192,70,
Warrick,OHIO 09,IN Supreme Court-Massa,,,No,112,15,71,26,
Warrick,OHIO 09,IN Supreme Court-Molter,,,Yes,274,15,197,74,
Warrick,OHIO 09,IN Supreme Court-Molter,,,No,109,15,70,24,
Warrick,OHIO 09,Court of Appeals Dist 1-Foley,,,Yes,272,6,194,72,
Warrick,OHIO 09,Court of Appeals Dist 1-Foley,,,No,100,8,67,25,
Warrick,OHIO 09,Court of Appeals Dist 4-Pyle III,,,Yes,266,10,190,72,
Warrick,OHIO 09,Court of Appeals Dist 4-Pyle III,,,No,106,10,72,24,
Warrick,OHIO 10,Registered Voters,,,,1060,,,,
Warrick,OHIO 10,Ballots Cast,,,,723,64,425,234,
Warrick,OHIO 10,Public Question-Const Amendment,,,Yes,326,20,192,114,
Warrick,OHIO 10,Public Question-Const Amendment,,,No,290,17,176,97,
Warrick,OHIO 10,President,,REP,Donald J. Trump,406,25,247,133,
Warrick,OHIO 10,President,,DEM,Kamala D. Harris,282,38,152,88,
Warrick,OHIO 10,President,,LIB,Chase Oliver,2,0,2,0,
Warrick,OHIO 10,President,,WTP,Robert F. Kennedy Jr.,8,0,2,6,
Warrick,OHIO 10,President,,,Write-In,4,1,1,3,
Warrick,OHIO 10,U.S. Senate,,REP,Jim Banks,382,25,233,124,
Warrick,OHIO 10,U.S. Senate,,DEM,Valerie McCray,274,38,151,85,
Warrick,OHIO 10,U.S. Senate,,LIB,Andrew Horning,14,0,6,8,
Warrick,OHIO 10,Governor,,REP,Mike Braun,385,25,240,120,
Warrick,OHIO 10,Governor,,DEM,Jennifer G. McCormick,289,38,161,90,
Warrick,OHIO 10,Governor,,LIB,Donald Rainwater II,13,0,2,10,
Warrick,OHIO 10,Attorney General,,REP,Todd Rokita,413,26,252,135,
Warrick,OHIO 10,Attorney General,,DEM,Destiny Wells,282,38,152,92,
Warrick,OHIO 10,U.S. House,8,REP,Mark Messmer,407,26,248,133,
Warrick,OHIO 10,U.S. House,8,DEM,Erik Hurt,269,38,148,83,
Warrick,OHIO 10,U.S. House,8,LIB,S. Richard Fitzlaff,17,0,8,9,
Warrick,OHIO 10,State Senate,50,REP,Vaneta Becker,471,39,291,150,
Warrick,OHIO 10,State Senate,50,IND,John Woodard,103,8,48,47,
Warrick,OHIO 10,State House,78,REP,Tim O'Brien,492,38,293,169,
Warrick,OHIO 10,Judge Superior Court No. 1,,REP,Kristina Hamby (Krista) Weiberg,486,27,289,170,
Warrick,OHIO 10,Judge Superior Court No. 2,,REP,Brett Michael Roy,499,26,298,175,
Warrick,OHIO 10,Clerk Of The Circuit Court,,REP,Mike Wilson,495,27,296,172,
Warrick,OHIO 10,County Recorder,,REP,Patricia (Patty) Perry,498,28,296,174,
Warrick,OHIO 10,County Treasurer,,REP,Tabitha Heilman,497,27,297,173,
Warrick,OHIO 10,County Coroner,,REP,Alissa (Salee) Enright,494,28,294,172,
Warrick,OHIO 10,County Surveyor,,REP,Dennis Witzbacher,492,27,297,168,
Warrick,OHIO 10,County Commissioner Dist 1,,REP,Sarah Hollis-Sexton,401,25,246,131,
Warrick,OHIO 10,County Commissioner Dist 1,,DEM,John T. Mattingly,281,39,151,91,
Warrick,OHIO 10,County Commissioner Dist 3,,REP,Stacey Franz,407,25,254,128,
Warrick,OHIO 10,County Commissioner Dist 3,,DEM,Trent Curtis,267,38,142,87,
Warrick,OHIO 10,County Council At-Large,,REP,Ron Bacon,371,19,224,128,
Warrick,OHIO 10,County Council At-Large,,REP,Patricia Pat (McIntyre) Brooks,386,19,236,131,
Warrick,OHIO 10,County Council At-Large,,REP,Brad Overton,369,19,229,121,
Warrick,OHIO 10,County Council At-Large,,DEM,Mason Barclay,245,20,129,96,
Warrick,OHIO 10,Warrick County School Board,,NP,Lynda G. Glover,225,16,116,91,
Warrick,OHIO 10,Warrick County School Board,,NP,Robert (Bobby) Howard,97,10,48,39,
Warrick,OHIO 10,Warrick County School Board,,NP,Brenda K. Metzger,225,16,118,91,
Warrick,OHIO 10,Warrick County School Board,,NP,Tim Mosbey,255,11,152,92,
Warrick,OHIO 10,Warrick County School Board,,NP,James (Jim) Post,266,17,176,98,
Warrick,OHIO 10,Warrick County School Board,,NP,Andrew E. Skinner,286,12,176,98,
Warrick,OHIO 10,IN Supreme Court-Rush,,,Yes,385,22,230,133,
Warrick,OHIO 10,IN Supreme Court-Rush,,,No,125,10,71,44,
Warrick,OHIO 10,IN Supreme Court-Massa,,,Yes,363,17,225,121,
Warrick,OHIO 10,IN Supreme Court-Massa,,,No,134,14,69,51,
Warrick,OHIO 10,IN Supreme Court-Molter,,,Yes,369,19,221,129,
Warrick,OHIO 10,IN Supreme Court-Molter,,,No,132,12,71,49,
Warrick,OHIO 10,Court of Appeals Dist 1-Foley,,,Yes,368,20,222,126,
Warrick,OHIO 10,Court of Appeals Dist 1-Foley,,,No,119,9,64,46,
Warrick,OHIO 10,Court of Appeals Dist 4-Pyle III,,,Yes,373,18,223,132,
Warrick,OHIO 10,Court of Appeals Dist 4-Pyle III,,,No,120,11,68,41,
Warrick,OHIO 11,Registered Voters,,,,892,,,,
Warrick,OHIO 11,Ballots Cast,,,,567,41,328,198,
Warrick,OHIO 11,Public Question-Const Amendment,,,Yes,247,13,145,89,
Warrick,OHIO 11,Public Question-Const Amendment,,,No,243,18,139,86,
Warrick,OHIO 11,President,,REP,Donald J. Trump,312,15,186,111,
Warrick,OHIO 11,President,,DEM,Kamala D. Harris,230,25,131,79,
Warrick,OHIO 11,President,,LIB,Chase Oliver,2,0,2,0,
Warrick,OHIO 11,President,,WTP,Robert F. Kennedy Jr.,10,1,6,3,
Warrick,OHIO 11,President,,,Write-In,1,0,1,0,
Warrick,OHIO 11,U.S. Senate,,REP,Jim Banks,299,17,182,100,
Warrick,OHIO 11,U.S. Senate,,DEM,Valerie McCray,211,22,118,71,
Warrick,OHIO 11,U.S. Senate,,LIB,Andrew Horning,11,1,4,7,
Warrick,OHIO 11,Governor,,REP,Mike Braun,285,19,172,96,
Warrick,OHIO 11,Governor,,DEM,Jennifer G. McCormick,229,19,129,81,
Warrick,OHIO 11,Governor,,LIB,Donald Rainwater II,11,0,4,7,
Warrick,OHIO 11,Attorney General,,REP,Todd Rokita,313,19,184,110,
Warrick,OHIO 11,Attorney General,,DEM,Destiny Wells,231,21,131,78,
Warrick,OHIO 11,U.S. House,8,REP,Mark Messmer,318,20,192,106,
Warrick,OHIO 11,U.S. House,8,DEM,Erik Hurt,215,20,120,75,
Warrick,OHIO 11,U.S. House,8,LIB,S. Richard Fitzlaff,11,0,2,9,
Warrick,OHIO 11,State Senate,50,REP,Vaneta Becker,350,23,217,113,
Warrick,OHIO 11,State Senate,50,IND,John Woodard,106,9,53,44,
Warrick,OHIO 11,State House,75,REP,Stephen Ledbetter,401,23,239,139,
Warrick,OHIO 11,Judge Superior Court No. 1,,REP,Kristina Hamby (Krista) Weiberg,396,21,234,141,
Warrick,OHIO 11,Judge Superior Court No. 2,,REP,Brett Michael Roy,398,21,234,143,
Warrick,OHIO 11,Clerk Of The Circuit Court,,REP,Mike Wilson,389,19,232,139,
Warrick,OHIO 11,County Recorder,,REP,Patricia (Patty) Perry,390,19,236,136,
Warrick,OHIO 11,County Treasurer,,REP,Tabitha Heilman,393,22,235,136,
Warrick,OHIO 11,County Coroner,,REP,Alissa (Salee) Enright,399,22,235,142,
Warrick,OHIO 11,County Surveyor,,REP,Dennis Witzbacher,386,21,228,137,
Warrick,OHIO 11,County Commissioner Dist 1,,REP,Sarah Hollis-Sexton,311,18,185,108,
Warrick,OHIO 11,County Commissioner Dist 1,,DEM,John T. Mattingly,217,20,121,76,
Warrick,OHIO 11,County Commissioner Dist 3,,REP,Stacey Franz,312,17,186,110,
Warrick,OHIO 11,County Commissioner Dist 3,,DEM,Trent Curtis,214,20,119,75,
Warrick,OHIO 11,County Council At-Large,,REP,Ron Bacon,286,13,171,97,
Warrick,OHIO 11,County Council At-Large,,REP,Patricia Pat (McIntyre) Brooks,280,19,154,107,
Warrick,OHIO 11,County Council At-Large,,REP,Brad Overton,280,15,178,75,
Warrick,OHIO 11,County Council At-Large,,DEM,Mason Barclay,204,17,112,75,
Warrick,OHIO 11,Warrick County School Board,,NP,Lynda G. Glover,200,17,115,68,
Warrick,OHIO 11,Warrick County School Board,,NP,Robert (Bobby) Howard,91,7,48,36,
Warrick,OHIO 11,Warrick County School Board,,NP,Brenda K. Metzger,200,14,115,71,
Warrick,OHIO 11,Warrick County School Board,,NP,Tim Mosbey,217,14,131,72,
Warrick,OHIO 11,Warrick County School Board,,NP,James (Jim) Post,188,16,111,61,
Warrick,OHIO 11,Warrick County School Board,,NP,Andrew E. Skinner,248,16,137,95,
Warrick,OHIO 11,IN Supreme Court-Rush,,,Yes,294,21,160,113,
Warrick,OHIO 11,IN Supreme Court-Rush,,,No,113,8,71,34,
Warrick,OHIO 11,IN Supreme Court-Massa,,,Yes,285,17,154,114,
Warrick,OHIO 11,IN Supreme Court-Massa,,,No,121,12,76,33,
Warrick,OHIO 11,IN Supreme Court-Molter,,,Yes,284,15,153,112,
Warrick,OHIO 11,IN Supreme Court-Molter,,,No,119,9,75,35,
Warrick,OHIO 11,Court of Appeals Dist 1-Foley,,,Yes,288,20,154,114,
Warrick,OHIO 11,Court of Appeals Dist 1-Foley,,,No,111,9,72,30,
Warrick,OHIO 11,Court of Appeals Dist 4-Pyle III,,,Yes,291,20,154,117,
Warrick,OHIO 11,Court of Appeals Dist 4-Pyle III,,,No,110,8,73,29,
Warrick,OHIO 12,Registered Voters,,,,1247,,,,
Warrick,OHIO 12,Ballots Cast,,,,896,70,654,172,
Warrick,OHIO 12,Public Question-Const Amendment,,,Yes,417,28,312,77,
Warrick,OHIO 12,Public Question-Const Amendment,,,No,335,23,238,74,
Warrick,OHIO 12,President,,REP,Donald J. Trump,528,44,405,99,
Warrick,OHIO 12,President,,DEM,Kamala D. Harris,314,24,233,59,
Warrick,OHIO 12,President,,LIB,Chase Oliver,5,0,4,1,
Warrick,OHIO 12,President,,WTP,Robert F. Kennedy Jr.,12,1,4,7,
Warrick,OHIO 12,President,,,Write-In,5,0,3,2,
Warrick,OHIO 12,U.S. Senate,,REP,Jim Banks,515,42,392,97,
Warrick,OHIO 12,U.S. Senate,,DEM,Valerie McCray,309,25,212,55,
Warrick,OHIO 12,U.S. Senate,,LIB,Andrew Horning,17,0,10,7,
Warrick,OHIO 12,Governor,,REP,Mike Braun,515,25,401,89,
Warrick,OHIO 12,Governor,,DEM,Jennifer G. McCormick,328,43,218,89,
Warrick,OHIO 12,Governor,,LIB,Donald Rainwater II,18,0,10,8,
Warrick,OHIO 12,Attorney General,,REP,Todd Rokita,543,26,414,103,
Warrick,OHIO 12,Attorney General,,DEM,Destiny Wells,314,41,212,61,
Warrick,OHIO 12,U.S. House,8,REP,Mark Messmer,530,25,410,95,
Warrick,OHIO 12,U.S. House,8,DEM,Erik Hurt,309,42,208,59,
Warrick,OHIO 12,U.S. House,8,LIB,S. Richard Fitzlaff,19,0,9,10,
Warrick,OHIO 12,State Senate,50,REP,Vaneta Becker,624,39,477,109,
Warrick,OHIO 12,State Senate,50,IND,John Woodard,122,13,72,37,
Warrick,OHIO 12,State House,75,REP,Stephen Ledbetter,652,45,482,127,
Warrick,OHIO 12,Judge Superior Court No. 1,,REP,Kristina Hamby (Krista) Weiberg,640,37,478,125,
Warrick,OHIO 12,Judge Superior Court No. 2,,REP,Brett Michael Roy,660,40,492,128,
Warrick,OHIO 12,Clerk Of The Circuit Court,,REP,Mike Wilson,658,41,486,131,
Warrick,OHIO 12,County Recorder,,REP,Patricia (Patty) Perry,656,41,485,130,
Warrick,OHIO 12,County Treasurer,,REP,Tabitha Heilman,647,41,478,128,
Warrick,OHIO 12,County Coroner,,REP,Alissa (Salee) Enright,648,40,481,127,
Warrick,OHIO 12,County Surveyor,,REP,Dennis Witzbacher,648,40,480,128,
Warrick,OHIO 12,County Commissioner Dist 1,,REP,Sarah Hollis-Sexton,516,43,396,96,
Warrick,OHIO 12,County Commissioner Dist 1,,DEM,John T. Mattingly,317,23,216,63,
Warrick,OHIO 12,County Commissioner Dist 3,,REP,Stacey Franz,525,25,402,98,
Warrick,OHIO 12,County Commissioner Dist 3,,DEM,Trent Curtis,301,37,206,58,
Warrick,OHIO 12,County Council At-Large,,REP,Ron Bacon,488,28,368,92,
Warrick,OHIO 12,County Council At-Large,,REP,Patricia Pat (McIntyre) Brooks,438,26,352,94,
Warrick,OHIO 12,County Council At-Large,,REP,Brad Overton,438,28,333,77,
Warrick,OHIO 12,County Council At-Large,,DEM,Mason Barclay,309,34,209,66,
Warrick,OHIO 12,Warrick County School Board,,NP,Lynda G. Glover,283,22,209,50,
Warrick,OHIO 12,Warrick County School Board,,NP,Robert (Bobby) Howard,111,15,70,26,
Warrick,OHIO 12,Warrick County School Board,,NP,Brenda K. Metzger,329,27,213,89,
Warrick,OHIO 12,Warrick County School Board,,NP,Tim Mosbey,296,15,234,63,
Warrick,OHIO 12,Warrick County School Board,,NP,James (Jim) Post,296,10,225,61,
Warrick,OHIO 12,Warrick County School Board,,NP,Andrew E. Skinner,370,17,286,67,
Warrick,OHIO 12,IN Supreme Court-Rush,,,Yes,453,37,327,89,
Warrick,OHIO 12,IN Supreme Court-Rush,,,No,169,11,122,36,
Warrick,OHIO 12,IN Supreme Court-Massa,,,Yes,437,31,319,87,
Warrick,OHIO 12,IN Supreme Court-Massa,,,No,181,17,126,38,
Warrick,OHIO 12,IN Supreme Court-Molter,,,Yes,438,33,317,88,
Warrick,OHIO 12,IN Supreme Court-Molter,,,No,177,15,125,37,
Warrick,OHIO 12,Court of Appeals Dist 1-Foley,,,Yes,447,34,319,94,
Warrick,OHIO 12,Court of Appeals Dist 1-Foley,,,No,155,9,116,30,
Warrick,OHIO 12,Court of Appeals Dist 4-Pyle III,,,Yes,441,34,314,93,
Warrick,OHIO 12,Court of Appeals Dist 4-Pyle III,,,No,158,8,120,30,
Warrick,OHIO 13,Registered Voters,,,,1630,,,,
Warrick,OHIO 13,Ballots Cast,,,,1085,147,693,245,
Warrick,OHIO 13,Public Question-Const Amendment,,,Yes,470,40,321,109,
Warrick,OHIO 13,Public Question-Const Amendment,,,No,431,53,280,98,
Warrick,OHIO 13,President,,REP,Donald J. Trump,610,47,411,142,
Warrick,OHIO 13,President,,DEM,Kamala D. Harris,441,93,263,93,
Warrick,OHIO 13,President,,LIB,Chase Oliver,3,1,2,0,
Warrick,OHIO 13,President,,WTP,Robert F. Kennedy Jr.,12,1,4,7,
Warrick,OHIO 13,President,,,Write-In,4,0,3,1,
Warrick,OHIO 13,U.S. Senate,,REP,Jim Banks,595,41,430,129,
Warrick,OHIO 13,U.S. Senate,,DEM,Valerie McCray,391,78,235,80,
Warrick,OHIO 13,U.S. Senate,,LIB,Andrew Horning,21,2,12,7,
Warrick,OHIO 13,Governor,,REP,Mike Braun,598,42,401,135,
Warrick,OHIO 13,Governor,,DEM,Jennifer G. McCormick,397,75,243,84,
Warrick,OHIO 13,Governor,,LIB,Donald Rainwater II,26,4,11,11,
Warrick,OHIO 13,Attorney General,,REP,Todd Rokita,616,43,418,135,
Warrick,OHIO 13,Attorney General,,DEM,Destiny Wells,410,77,245,87,
Warrick,OHIO 13,U.S. House,8,REP,Mark Messmer,630,42,430,138,
Warrick,OHIO 13,U.S. House,8,DEM,Erik Hurt,388,75,235,78,
Warrick,OHIO 13,U.S. House,8,LIB,S. Richard Fitzlaff,23,3,13,7,
Warrick,OHIO 13,State Senate,50,REP,Vaneta Becker,720,83,489,148,
Warrick,OHIO 13,State Senate,50,IND,John Woodard,159,11,93,55,
Warrick,OHIO 13,State House,75,REP,Stephen Ledbetter,771,84,509,178,
Warrick,OHIO 13,Judge Superior Court No. 1,,REP,Kristina Hamby (Krista) Weiberg,760,75,499,183,
Warrick,OHIO 13,Judge Superior Court No. 2,,REP,Brett Michael Roy,761,77,496,188,
Warrick,OHIO 13,Clerk Of The Circuit Court,,REP,Mike Wilson,758,77,496,185,
Warrick,OHIO 13,County Recorder,,REP,Patricia (Patty) Perry,765,79,497,192,
Warrick,OHIO 13,County Treasurer,,REP,Tabitha Heilman,748,78,488,182,
Warrick,OHIO 13,County Coroner,,REP,Alissa (Salee) Enright,749,77,489,181,
Warrick,OHIO 13,County Surveyor,,REP,Dennis Witzbacher,746,77,488,181,
Warrick,OHIO 13,County Commissioner Dist 1,,REP,Sarah Hollis-Sexton,613,66,418,129,
Warrick,OHIO 13,County Commissioner Dist 1,,DEM,John T. Mattingly,406,89,245,92,
Warrick,OHIO 13,County Commissioner Dist 3,,REP,Stacey Franz,617,65,424,128,
Warrick,OHIO 13,County Commissioner Dist 3,,DEM,Trent Curtis,398,70,240,88,
Warrick,OHIO 13,County Council At-Large,,REP,Ron Bacon,536,54,371,111,
Warrick,OHIO 13,County Council At-Large,,REP,Patricia Pat (McIntyre) Brooks,491,51,344,96,
Warrick,OHIO 13,County Council At-Large,,REP,Brad Overton,491,51,344,96,
Warrick,OHIO 13,County Council At-Large,,DEM,Mason Barclay,380,49,245,86,
Warrick,OHIO 13,Warrick County School Board,,NP,Lynda G. Glover,328,56,212,72,
Warrick,OHIO 13,Warrick County School Board,,NP,Robert (Bobby) Howard,163,23,95,45,
Warrick,OHIO 13,Warrick County School Board,,NP,Brenda K. Metzger,337,56,218,72,
Warrick,OHIO 13,Warrick County School Board,,NP,Tim Mosbey,363,56,244,72,
Warrick,OHIO 13,Warrick County School Board,,NP,James (Jim) Post,363,30,261,72,
Warrick,OHIO 13,Warrick County School Board,,NP,Andrew E. Skinner,433,32,300,101,
Warrick,OHIO 13,IN Supreme Court-Rush,,,Yes,551,68,364,119,
Warrick,OHIO 13,IN Supreme Court-Rush,,,No,193,17,121,55,
Warrick,OHIO 13,IN Supreme Court-Massa,,,Yes,523,56,348,116,
Warrick,OHIO 13,IN Supreme Court-Massa,,,No,218,25,137,56,
Warrick,OHIO 13,IN Supreme Court-Molter,,,Yes,531,56,352,114,
Warrick,OHIO 13,IN Supreme Court-Molter,,,No,207,26,123,58,
Warrick,OHIO 13,Court of Appeals Dist 1-Foley,,,Yes,534,57,362,115,
Warrick,OHIO 13,Court of Appeals Dist 1-Foley,,,No,193,18,117,58,
Warrick,OHIO 13,Court of Appeals Dist 4-Pyle III,,,Yes,535,57,359,119,
Warrick,OHIO 13,Court of Appeals Dist 4-Pyle III,,,No,188,15,119,54,
Warrick,OHIO 14,Registered Voters,,,,786,,,,
Warrick,OHIO 14,Ballots Cast,,,,471,16,213,242,
Warrick,OHIO 14,Public Question-Const Amendment,,,Yes,221,5,97,119,
Warrick,OHIO 14,Public Question-Const Amendment,,,No,176,2,83,91,
Warrick,OHIO 14,President,,REP,Donald J. Trump,335,8,148,179,
Warrick,OHIO 14,President,,DEM,Kamala D. Harris,127,5,63,59,
Warrick,OHIO 14,President,,LIB,Chase Oliver,1,0,0,1,
Warrick,OHIO 14,President,,WTP,Robert F. Kennedy Jr.,4,1,0,3,
Warrick,OHIO 14,President,,,Write-In,1,0,1,0,
Warrick,OHIO 14,U.S. Senate,,REP,Jim Banks,301,5,139,157,
Warrick,OHIO 14,U.S. Senate,,DEM,Valerie McCray,118,5,61,49,
Warrick,OHIO 14,U.S. Senate,,LIB,Andrew Horning,12,1,7,5,
Warrick,OHIO 14,Governor,,REP,Mike Braun,300,4,139,157,
Warrick,OHIO 14,Governor,,DEM,Jennifer G. McCormick,122,9,63,50,
Warrick,OHIO 14,Governor,,LIB,Donald Rainwater II,17,1,7,9,
Warrick,OHIO 14,Attorney General,,REP,Todd Rokita,314,5,145,164,
Warrick,OHIO 14,Attorney General,,DEM,Destiny Wells,129,8,63,58,
Warrick,OHIO 14,U.S. House,8,REP,Mark Messmer,322,5,147,170,
Warrick,OHIO 14,U.S. House,8,DEM,Erik Hurt,116,5,61,47,
Warrick,OHIO 14,U.S. House,8,LIB,S. Richard Fitzlaff,6,0,3,3,
Warrick,OHIO 14,U.S. House,8,,,Write-In,1,0,1,0
Warrick,OHIO 14,State Senate,50,REP,Vaneta Becker,326,5,152,169,
Warrick,OHIO 14,State Senate,50,IND,John Woodard,74,5,33,36,
Warrick,OHIO 14,State House,75,REP,Stephen Ledbetter,356,5,163,188,
Warrick,OHIO 14,Judge Superior Court No. 1,,REP,Kristina Hamby (Krista) Weiberg,353,5,161,185,
Warrick,OHIO 14,Judge Superior Court No. 2,,REP,Brett Michael Roy,365,5,166,194,
Warrick,OHIO 14,Clerk Of The Circuit Court,,REP,Mike Wilson,363,5,166,192,
Warrick,OHIO 14,County Recorder,,REP,Patricia (Patty) Perry,352,5,159,188,
Warrick,OHIO 14,County Treasurer,,REP,Tabitha Heilman,352,5,161,186,
Warrick,OHIO 14,County Coroner,,REP,Alissa (Salee) Enright,354,5,164,185,
Warrick,OHIO 14,County Surveyor,,REP,Dennis Witzbacher,356,5,165,186,
Warrick,OHIO 14,County Commissioner Dist 1,,REP,Sarah Hollis-Sexton,320,5,144,170,
Warrick,OHIO 14,County Commissioner Dist 1,,DEM,John T. Mattingly,124,7,63,54,
Warrick,OHIO 14,County Commissioner Dist 3,,REP,Stacey Franz,310,5,146,159,
Warrick,OHIO 14,County Commissioner Dist 3,,DEM,Trent Curtis,126,7,59,60,
Warrick,OHIO 14,Town Clerk-Treasurer Chandler,,DEM,Brian D. Pace,232,9,102,121,
Warrick,OHIO 14,Town Council At-Lg Chandler,,REP,Sandra Eller,309,8,145,156,
Warrick,OHIO 14,Town Council At-Lg Chandler,,DEM,Sandra D. Elder,126,5,60,61,
Warrick,OHIO 14,Town Council Dist 1 Chandler,,DEM,Chris Tords,177,5,79,93,
Warrick,OHIO 14,Town Council Dist 1 Chandler,,IND,Samantha Pate,155,5,70,80,
Warrick,OHIO 14,Town Council Dist 3 Chandler,,REP,Tonya Wester,241,4,109,128,
Warrick,OHIO 14,Town Council Dist 3 Chandler,,IND,Brittany Daugherty,169,6,78,85,
Warrick,OHIO 14,County Council At-Large,,REP,Ron Bacon,280,4,127,149,
Warrick,OHIO 14,County Council At-Large,,REP,Patricia Pat (McIntyre) Brooks,233,4,110,119,
Warrick,OHIO 14,County Council At-Large,,REP,Brad Overton,233,5,108,119,
Warrick,OHIO 14,County Council At-Large,,DEM,Mason Barclay,130,5,64,61,
Warrick,OHIO 14,Warrick County School Board,,NP,Lynda G. Glover,154,5,64,85,
Warrick,OHIO 14,Warrick County School Board,,NP,Robert (Bobby) Howard,90,4,34,52,
Warrick,OHIO 14,Warrick County School Board,,NP,Brenda K. Metzger,199,6,79,114,
Warrick,OHIO 14,Warrick County School Board,,NP,Tim Mosbey,211,5,86,120,
Warrick,OHIO 14,Warrick County School Board,,NP,James (Jim) Post,134,2,63,69,
Warrick,OHIO 14,Warrick County School Board,,NP,Andrew E. Skinner,138,0,65,73,
Warrick,OHIO 14,IN Supreme Court-Rush,,,Yes,245,6,104,136,
Warrick,OHIO 14,IN Supreme Court-Rush,,,No,90,4,44,42,
Warrick,OHIO 14,IN Supreme Court-Massa,,,Yes,237,4,104,129,
Warrick,OHIO 14,IN Supreme Court-Massa,,,No,94,5,44,45,
Warrick,OHIO 14,IN Supreme Court-Molter,,,Yes,240,4,103,133,
Warrick,OHIO 14,IN Supreme Court-Molter,,,No,93,4,43,46,
Warrick,OHIO 14,Court of Appeals Dist 1-Foley,,,Yes,239,4,106,129,
Warrick,OHIO 14,Court of Appeals Dist 1-Foley,,,No,92,5,40,47,
Warrick,OHIO 14,Court of Appeals Dist 4-Pyle III,,,Yes,231,5,100,128,
Warrick,OHIO 14,Court of Appeals Dist 4-Pyle III,,,No,97,6,46,45,
Warrick,OHIO 15,Registered Voters,,,,1162,,,,
Warrick,OHIO 15,Ballots Cast,,,,704,45,383,276,
Warrick,OHIO 15,Public Question-Const Amendment,,,Yes,336,15,170,151,
Warrick,OHIO 15,Public Question-Const Amendment,,,No,267,14,151,102,
Warrick,OHIO 15,President,,REP,Donald J. Trump,415,25,225,171,
