candidate,office,district,party,county,precinct,early_voting,election_day,votes
John Miller,U.S. House,6,W,Wayne,WAYNE04,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE04,117,71,188
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE04,73,57,130
Bradford J Barrett,State Representative,56,,Wayne,WAYNE04,122,69,191
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE04,64,52,116
Jeremy Why,State Representative,56,,Wayne,WAYNE04,4,7,11
,Ballots Cast,,,Wayne,WAYNE05,,,190
,Straight Party,,R,Wayne,WAYNE05,10,16,26
,Straight Party,,D,Wayne,WAYNE05,53,50,103
,Straight Party,,L,Wayne,WAYNE05,0,0,0
Mike Braun,U.S. Senate,,,Wayne,WAYNE05,17,25,42
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE05,73,82,135
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE05,3,6,9
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE05,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE05,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE05,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE05,17,27,44
Jim Harper,Secretary of State,,,Wayne,WAYNE05,72,65,137
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE05,3,2,5
George William Wolfe,Secretary of State,,W,Wayne,WAYNE05,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE05,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE05,19,26,45
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE05,73,64,137
John Schick,Auditor of State,,,Wayne,WAYNE05,0,4,4
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE05,21,28,49
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE05,72,65,137
Greg Pence,U.S. House,6,,Wayne,WAYNE05,18,32,50
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE05,74,60,134
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE05,1,3,4
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE05,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE05,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE05,20,29,49
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE05,72,68,138
Bradford J Barrett,State Representative,56,,Wayne,WAYNE05,20,32,52
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE05,69,60,129
Jeremy Why,State Representative,56,,Wayne,WAYNE05,4,4,8
,Ballots Cast,,,Wayne,WAYNE06,,,453
,Straight Party,,R,Wayne,WAYNE06,91,74,165
,Straight Party,,D,Wayne,WAYNE06,70,61,131
,Straight Party,,L,Wayne,WAYNE06,3,5,8
Mike Braun,U.S. Senate,,,Wayne,WAYNE06,117,92,209
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE06,107,89,196
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE06,13,17,30
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE06,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE06,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE06,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE06,135,96,231
Jim Harper,Secretary of State,,,Wayne,WAYNE06,100,93,193
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE06,4,11,15
George William Wolfe,Secretary of State,,W,Wayne,WAYNE06,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE06,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE06,128,95,223
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE06,109,94,203
John Schick,Auditor of State,,,Wayne,WAYNE06,3,11,14
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE06,131,105,236
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE06,106,92,198
Greg Pence,U.S. House,6,,Wayne,WAYNE06,128,96,224
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE06,109,94,203
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE06,5,11,16
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE06,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE06,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE06,131,104,235
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE06,108,95,203
Bradford J Barrett,State Representative,56,,Wayne,WAYNE06,134,107,241
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE06,98,84,182
Jeremy Why,State Representative,56,,Wayne,WAYNE06,9,9,18
,Ballots Cast,,,Wayne,WAYNE07,,,231
,Straight Party,,R,Wayne,WAYNE07,21,26,47
,Straight Party,,D,Wayne,WAYNE07,40,48,88
,Straight Party,,L,Wayne,WAYNE07,0,2,2
Mike Braun,U.S. Senate,,,Wayne,WAYNE07,35,39,74
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE07,78,66,144
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE07,5,6,11
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE07,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE07,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE07,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE07,37,38,75
Jim Harper,Secretary of State,,,Wayne,WAYNE07,63,66,129
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE07,0,7,7
George William Wolfe,Secretary of State,,W,Wayne,WAYNE07,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE07,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE07,40,37,77
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE07,58,69,127
John Schick,Auditor of State,,,Wayne,WAYNE07,1,5,6
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE07,40,40,80
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE07,58,71,129
Greg Pence,U.S. House,6,,Wayne,WAYNE07,40,38,78
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE07,75,68,143
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE07,3,5,8
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE07,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE07,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE07,42,42,84
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE07,59,67,126
Bradford J Barrett,State Representative,56,,Wayne,WAYNE07,41,41,82
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE07,57,64,121
Jeremy Why,State Representative,56,,Wayne,WAYNE07,3,5,8
,Ballots Cast,,,Wayne,WAYNE08,,,264
,Straight Party,,R,Wayne,WAYNE08,32,33,65
,Straight Party,,D,Wayne,WAYNE08,46,55,101
,Straight Party,,L,Wayne,WAYNE08,1,1,2
Mike Braun,U.S. Senate,,,Wayne,WAYNE08,45,44,89
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE08,79,81,160
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE08,5,5,10
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE08,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE08,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE08,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE08,54,44,98
Jim Harper,Secretary of State,,,Wayne,WAYNE08,73,80,153
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE08,2,4,6
George William Wolfe,Secretary of State,,W,Wayne,WAYNE08,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE08,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE08,50,43,93
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE08,76,81,157
John Schick,Auditor of State,,,Wayne,WAYNE08,4,5,9
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE08,55,46,101
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE08,74,84,158
Greg Pence,U.S. House,6,,Wayne,WAYNE08,48,44,92
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE08,78,84,162
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE08,3,4,7
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE08,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE08,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE08,56,49,105
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE08,73,82,155
Bradford J Barrett,State Representative,56,,Wayne,WAYNE08,56,49,105
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE08,64,74,138
Jeremy Why,State Representative,56,,Wayne,WAYNE08,9,8,17
,Ballots Cast,,,Wayne,WAYNE09,,,434
,Straight Party,,R,Wayne,WAYNE09,107,40,147
,Straight Party,,D,Wayne,WAYNE09,63,17,80
,Straight Party,,L,Wayne,WAYNE09,0,1,1
Mike Braun,U.S. Senate,,,Wayne,WAYNE09,154,75,229
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE09,127,52,179
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE09,11,6,17
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE09,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE09,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE09,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE09,185,80,265
Jim Harper,Secretary of State,,,Wayne,WAYNE09,106,42,148
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE09,0,9,9
George William Wolfe,Secretary of State,,W,Wayne,WAYNE09,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE09,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE09,176,77,253
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE09,107,48,155
John Schick,Auditor of State,,,Wayne,WAYNE09,4,7,11
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE09,185,84,269
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE09,105,47,152
Greg Pence,U.S. House,6,,Wayne,WAYNE09,171,80,251
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE09,116,47,163
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE09,6,5,11
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE09,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE09,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE09,185,85,270
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE09,107,47,154
Bradford J Barrett,State Representative,56,,Wayne,WAYNE09,181,88,269
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE09,110,44,154
Jeremy Why,State Representative,56,,Wayne,WAYNE09,4,4,8
,Ballots Cast,,,Wayne,WAYNE10,,,207
,Straight Party,,R,Wayne,WAYNE10,21,24,45
,Straight Party,,D,Wayne,WAYNE10,34,32,66
,Straight Party,,L,Wayne,WAYNE10,2,2,4
Mike Braun,U.S. Senate,,,Wayne,WAYNE10,35,38,73
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE10,63,54,117
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE10,4,9,13
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE10,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE10,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE10,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE10,39,38,77
Jim Harper,Secretary of State,,,Wayne,WAYNE10,56,58,114
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE10,4,9,13
George William Wolfe,Secretary of State,,W,Wayne,WAYNE10,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE10,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE10,38,37,75
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE10,58,56,114
John Schick,Auditor of State,,,Wayne,WAYNE10,4,10,14
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE10,43,44,87
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE10,55,60,115
Greg Pence,U.S. House,6,,Wayne,WAYNE10,37,37,74
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE10,60,59,119
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE10,3,6,9
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE10,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE10,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE10,43,44,87
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE10,56,58,114
Bradford J Barrett,State Representative,56,,Wayne,WAYNE10,41,40,81
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE10,56,57,113
Jeremy Why,State Representative,56,,Wayne,WAYNE10,3,8,11
,Ballots Cast,,,Wayne,WAYNE11,,,172
,Straight Party,,R,Wayne,WAYNE11,18,26,44
,Straight Party,,D,Wayne,WAYNE11,17,51,68
,Straight Party,,L,Wayne,WAYNE11,1,1,2
Mike Braun,U.S. Senate,,,Wayne,WAYNE11,21,41,62
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE11,26,75,101
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE11,2,4,6
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE11,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE11,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE11,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE11,26,46,72
Jim Harper,Secretary of State,,,Wayne,WAYNE11,22,69,91
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE11,2,4,6
George William Wolfe,Secretary of State,,W,Wayne,WAYNE11,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE11,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE11,22,45,67
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE11,26,69,95
John Schick,Auditor of State,,,Wayne,WAYNE11,2,5,7
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE11,24,47,71
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE11,26,71,97
Greg Pence,U.S. House,6,,Wayne,WAYNE11,23,43,66
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE11,25,70,95
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE11,2,6,8
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE11,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE11,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE11,26,46,72
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE11,24,72,96
Bradford J Barrett,State Representative,56,,Wayne,WAYNE11,24,46,70
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE11,25,64,89
Jeremy Why,State Representative,56,,Wayne,WAYNE11,1,9,10
,Ballots Cast,,,Wayne,WAYNE12,,,177
,Straight Party,,R,Wayne,WAYNE12,21,33,54
,Straight Party,,D,Wayne,WAYNE12,32,31,63
,Straight Party,,L,Wayne,WAYNE12,1,2,3
Mike Braun,U.S. Senate,,,Wayne,WAYNE12,29,42,71
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE12,46,46,92
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE12,6,6,12
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE12,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE12,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE12,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE12,30,45,75
Jim Harper,Secretary of State,,,Wayne,WAYNE12,46,43,89
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE12,5,4,9
George William Wolfe,Secretary of State,,W,Wayne,WAYNE12,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE12,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE12,31,43,74
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE12,45,46,91
John Schick,Auditor of State,,,Wayne,WAYNE12,5,4,9
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE12,34,44,78
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE12,46,47,93
Greg Pence,U.S. House,6,,Wayne,WAYNE12,29,46,75
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE12,49,42,91
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE12,3,5,8
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE12,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE12,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE12,32,46,78
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE12,48,47,95
Bradford J Barrett,State Representative,56,,Wayne,WAYNE12,32,49,81
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE12,42,41,83
Jeremy Why,State Representative,56,,Wayne,WAYNE12,6,3,9
,Ballots Cast,,,Wayne,WAYNE13,,,325
,Straight Party,,R,Wayne,WAYNE13,71,46,117
,Straight Party,,D,Wayne,WAYNE13,29,28,57
,Straight Party,,L,Wayne,WAYNE13,0,3,3
Mike Braun,U.S. Senate,,,Wayne,WAYNE13,110,64,174
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE13,76,59,135
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE13,4,5,9
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE13,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE13,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE13,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE13,120,75,195
Jim Harper,Secretary of State,,,Wayne,WAYNE13,68,49,117
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE13,3,5,8
George William Wolfe,Secretary of State,,W,Wayne,WAYNE13,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE13,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE13,116,68,184
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE13,72,53,125
John Schick,Auditor of State,,,Wayne,WAYNE13,1,6,7
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE13,119,71,190
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE13,67,54,121
Greg Pence,U.S. House,6,,Wayne,WAYNE13,112,67,179
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE13,77,53,130
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE13,3,7,10
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE13,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE13,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE13,126,75,201
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE13,66,54,120
Bradford J Barrett,State Representative,56,,Wayne,WAYNE13,133,67,200
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE13,55,54,109
Jeremy Why,State Representative,56,,Wayne,WAYNE13,2,8,10
,Ballots Cast,,,Wayne,WAYNE14,,,607
,Straight Party,,R,Wayne,WAYNE14,151,75,226
,Straight Party,,D,Wayne,WAYNE14,60,23,83
,Straight Party,,L,Wayne,WAYNE14,1,0,1
Mike Braun,U.S. Senate,,,Wayne,WAYNE14,243,111,354
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE14,153,70,223
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE14,11,11,22
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE14,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE14,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE14,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE14,269,126,395
Jim Harper,Secretary of State,,,Wayne,WAYNE14,132,53,185
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE14,6,11,17
George William Wolfe,Secretary of State,,W,Wayne,WAYNE14,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE14,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE14,260,125,385
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE14,132,51,183
John Schick,Auditor of State,,,Wayne,WAYNE14,8,11,19
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE14,276,135,411
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE14,126,52,178
Greg Pence,U.S. House,6,,Wayne,WAYNE14,259,122,381
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE14,140,60,200
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE14,9,7,16
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE14,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE14,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE14,287,140,427
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE14,117,48,165
Bradford J Barrett,State Representative,56,,Wayne,WAYNE14,291,148,439
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE14,112,38,150
Jeremy Why,State Representative,56,,Wayne,WAYNE14,5,7,12
,Ballots Cast,,,Wayne,WAYNE15,,,417
,Straight Party,,R,Wayne,WAYNE15,51,43,94
,Straight Party,,D,Wayne,WAYNE15,58,35,93
,Straight Party,,L,Wayne,WAYNE15,0,1,1
Mike Braun,U.S. Senate,,,Wayne,WAYNE15,79,79,158
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE15,143,93,236
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE15,9,9,18
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE15,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE15,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE15,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE15,96,88,184
Jim Harper,Secretary of State,,,Wayne,WAYNE15,131,80,211
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE15,4,11,15
George William Wolfe,Secretary of State,,W,Wayne,WAYNE15,1,0,1
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE15,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE15,95,91,186
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE15,132,79,211
John Schick,Auditor of State,,,Wayne,WAYNE15,4,10,14
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE15,95,95,190
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE15,135,82,217
Greg Pence,U.S. House,6,,Wayne,WAYNE15,80,78,158
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE15,149,91,240
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE15,2,13,15
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE15,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE15,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE15,100,102,202
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE15,129,78,207
Bradford J Barrett,State Representative,56,,Wayne,WAYNE15,110,96,206
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE15,113,75,188
Jeremy Why,State Representative,56,,Wayne,WAYNE15,8,10,18
,Ballots Cast,,,Wayne,WAYNE16,,,322
,Straight Party,,R,Wayne,WAYNE16,50,40,90
,Straight Party,,D,Wayne,WAYNE16,39,40,79
,Straight Party,,L,Wayne,WAYNE16,0,2,2
Mike Braun,U.S. Senate,,,Wayne,WAYNE16,76,56,132
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE16,101,74,175
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE16,3,9,12
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE16,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE16,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE16,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE16,87,64,151
Jim Harper,Secretary of State,,,Wayne,WAYNE16,87,63,150
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE16,4,11,15
George William Wolfe,Secretary of State,,W,Wayne,WAYNE16,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE16,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE16,85,60,145
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE16,90,69,159
John Schick,Auditor of State,,,Wayne,WAYNE16,2,7,9
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE16,92,65,157
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE16,84,69,153
Greg Pence,U.S. House,6,,Wayne,WAYNE16,78,63,141
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE16,97,73,170
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE16,5,3,8
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE16,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE16,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE16,90,71,161
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE16,86,69,155
Bradford J Barrett,State Representative,56,,Wayne,WAYNE16,92,69,161
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE16,80,63,143
Jeremy Why,State Representative,56,,Wayne,WAYNE16,8,6,14
,Ballots Cast,,,Wayne,WAYNE17,,,89
,Straight Party,,R,Wayne,WAYNE17,13,19,32
,Straight Party,,D,Wayne,WAYNE17,8,17,25
,Straight Party,,L,Wayne,WAYNE17,1,3,4
Mike Braun,U.S. Senate,,,Wayne,WAYNE17,20,20,40
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE17,15,22,37
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE17,4,7,11
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE17,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE17,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE17,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE17,20,20,40
Jim Harper,Secretary of State,,,Wayne,WAYNE17,16,24,40
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE17,2,4,6
George William Wolfe,Secretary of State,,W,Wayne,WAYNE17,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE17,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE17,22,19,41
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE17,14,23,37
John Schick,Auditor of State,,,Wayne,WAYNE17,2,6,8
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE17,23,23,46
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE17,14,24,38
Greg Pence,U.S. House,6,,Wayne,WAYNE17,21,17,38
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE17,14,25,39
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE17,3,5,8
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE17,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE17,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE17,24,25,49
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE17,14,23,37
Bradford J Barrett,State Representative,56,,Wayne,WAYNE17,22,24,46
