candidate,office,district,party,county,precinct,registered_voters,machine_votes,absentee_votes,provisional_votes
Jeffrey B. Baker,School Board Member,,NP,Warrick,Boon 2,708,96,36,0
Stephanie Gerhardt,School Board Member,,NP,Warrick,Boon 2,708,33,15,0
Tabitha Heilman,School Board Member,,NP,Warrick,Boon 2,708,44,8,0
Elissa Jones,School Board Member,,NP,Warrick,Boon 2,708,33,10,0
Rick Dean Madden,School Board Member,,NP,Warrick,Boon 2,708,110,39,0
Candace S. Nance,School Board Member,,NP,Warrick,Boon 2,708,60,16,0
"""Nancy"" Anne J. Parker",School Board Member,,NP,Warrick,Boon 2,708,42,9,0
Thomas L. Welch,School Board Member,,NP,Warrick,Boon 2,708,75,41,0
Jane Wilhelmus,School Board Member,,NP,Warrick,Boon 2,708,124,54,0
Yes,Justice IN Supreme Ct Slaughter,,,Warrick,Boon 2,708,129,40,0
No,Justice IN Supreme Ct Slaughter,,,Warrick,Boon 2,708,65,19,0
Yes,Judge IN Ct Appeals D2 Altice,,,Warrick,Boon 2,708,130,38,0
No,Judge IN Ct Appeals D2 Altice,,,Warrick,Boon 2,708,61,20,0
Yes,Public Question,,,Warrick,Ohio 31,1371,330,126,0
No,Public Question,,,Warrick,Ohio 31,1371,103,30,0
Mike Braun,U.S. Senate,,R,Warrick,Ohio 31,1371,305,122,0
Joe Donnelly,U.S. Senate,,D,Warrick,Ohio 31,1371,190,84,0
Lucy M. Brenton,U.S. Senate,,L,Warrick,Ohio 31,1371,16,5,0
Write-In,U.S. Senate,,,Warrick,Ohio 31,1371,0,0,0
Connie Lawson,Secretary of State,,R,Warrick,Ohio 31,1371,327,127,0
Jim Harper,Secretary of State,,D,Warrick,Ohio 31,1371,168,76,0
Mark W. Rutherford,Secretary of State,,L,Warrick,Ohio 31,1371,12,4,0
Write-In,Secretary of State,,,Warrick,Ohio 31,1371,1,0,0
Tera Klutz,Auditor of State,,R,Warrick,Ohio 31,1371,320,123,0
Joselyn Whitticker,Auditor of State,,D,Warrick,Ohio 31,1371,169,79,0
John Schick,Auditor of State,,L,Warrick,Ohio 31,1371,16,4,0
Kelly Mitchell,Treasurer of State,,R,Warrick,Ohio 31,1371,346,132,0
John C. Aguilera,Treasurer of State,,D,Warrick,Ohio 31,1371,162,75,0
Larry D. Bucshon,U.S. House,8,R,Warrick,Ohio 31,1371,341,136,0
William Tanoos,U.S. House,8,D,Warrick,Ohio 31,1371,170,75,0
Write-In,U.S. House,8,,Warrick,Ohio 31,1371,0,0,0
Holli Sullivan,State House,78,R,Warrick,Ohio 31,1371,397,152,0
No Candidate Filed,State House,78,D,Warrick,Ohio 31,1371,0,0,0
J. Zach Winsett,Judge of Superior Court No. 1,,R,Warrick,Ohio 31,1371,396,151,0
No Candidate Filed,Judge of Superior Court No. 1,,D,Warrick,Ohio 31,1371,0,0,0
Amy Steinkamp Miskimen,Judge of Superior Court No. 2,,R,Warrick,Ohio 31,1371,392,150,0
No Candidate Filed,Judge of Superior Court No. 2,,D,Warrick,Ohio 31,1371,0,0,0
Michael J. Perry,Prosecuting Attorney 2nd Circuit,,R,Warrick,Ohio 31,1371,395,148,0
No Candidate Filed,Prosecuting Attorney 2nd Circuit,,D,Warrick,Ohio 31,1371,0,0,0
"Deborah ""Debbie"" Stevens",County Auditor,,R,Warrick,Ohio 31,1371,328,129,0
Chelsea Ballis,County Auditor,,D,Warrick,Ohio 31,1371,179,76,0
Michael Wilder,County Sheriff,,R,Warrick,Ohio 31,1371,402,150,0
No Candidate Filed,County Sheriff,,D,Warrick,Ohio 31,1371,0,0,0
Sarah E. Redman,County Assessor,,R,Warrick,Ohio 31,1371,396,147,0
No Candidate Filed,County Assessor,,D,Warrick,Ohio 31,1371,0,0,0
Terry Phillippe,Co Commissioner,2,R,Warrick,Ohio 31,1371,320,126,0
Mark Warren,Co Commissioner,2,D,Warrick,Ohio 31,1371,182,81,0
Richard A. Reid,County Council,2,R,Warrick,Ohio 31,1371,323,127,0
Christopher Weyer,County Council,2,D,Warrick,Ohio 31,1371,180,79,0
Chad Bennett,Ohio Twp Trustee,,R,Warrick,Ohio 31,1371,332,133,0
Grant L. Gerling,Ohio Twp Trustee,,D,Warrick,Ohio 31,1371,173,72,0
Nancy Grimes Bennett,Ohio Twp Advisory Board,,R,Warrick,Ohio 31,1371,286,94,0
Debbie Reid,Ohio Twp Advisory Board,,R,Warrick,Ohio 31,1371,287,94,0
Michael Wilson,Ohio Twp Advisory Board,,R,Warrick,Ohio 31,1371,276,91,0
John C. Barner,Ohio Twp Advisory Board,,D,Warrick,Ohio 31,1371,156,67,0
Mary Cole Platz,Ohio Twp Advisory Board,,D,Warrick,Ohio 31,1371,153,61,0
"Kristopher ""Kris"" Stallins",Ohio Twp Advisory Board,,D,Warrick,Ohio 31,1371,152,63,0
Jordan M. Aigner,School Board Member,,NP,Warrick,Ohio 31,1371,131,62,0
Jeffrey B. Baker,School Board Member,,NP,Warrick,Ohio 31,1371,156,45,0
Stephanie Gerhardt,School Board Member,,NP,Warrick,Ohio 31,1371,201,65,0
Tabitha Heilman,School Board Member,,NP,Warrick,Ohio 31,1371,108,39,0
Elissa Jones,School Board Member,,NP,Warrick,Ohio 31,1371,116,33,0
Rick Dean Madden,School Board Member,,NP,Warrick,Ohio 31,1371,107,28,0
Candace S. Nance,School Board Member,,NP,Warrick,Ohio 31,1371,163,61,0
"""Nancy"" Anne J. Parker",School Board Member,,NP,Warrick,Ohio 31,1371,109,40,0
Thomas L. Welch,School Board Member,,NP,Warrick,Ohio 31,1371,135,50,0
Jane Wilhelmus,School Board Member,,NP,Warrick,Ohio 31,1371,190,62,0
Yes,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 31,1371,319,115,0
No,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 31,1371,88,22,0
Yes,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 31,1371,324,121,0
No,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 31,1371,85,20,0
Yes,Public Question,,,Warrick,Ohio 25,692,177,74,0
No,Public Question,,,Warrick,Ohio 25,692,47,21,0
Mike Braun,U.S. Senate,,R,Warrick,Ohio 25,692,186,77,0
Joe Donnelly,U.S. Senate,,D,Warrick,Ohio 25,692,79,44,0
Lucy M. Brenton,U.S. Senate,,L,Warrick,Ohio 25,692,5,6,0
Write-In,U.S. Senate,,,Warrick,Ohio 25,692,0,0,0
Connie Lawson,Secretary of State,,R,Warrick,Ohio 25,692,190,77,0
Jim Harper,Secretary of State,,D,Warrick,Ohio 25,692,70,46,0
Mark W. Rutherford,Secretary of State,,L,Warrick,Ohio 25,692,8,2,0
Write-In,Secretary of State,,,Warrick,Ohio 25,692,0,0,0
Tera Klutz,Auditor of State,,R,Warrick,Ohio 25,692,185,75,0
Joselyn Whitticker,Auditor of State,,D,Warrick,Ohio 25,692,71,47,0
John Schick,Auditor of State,,L,Warrick,Ohio 25,692,9,1,0
Kelly Mitchell,Treasurer of State,,R,Warrick,Ohio 25,692,198,83,0
John C. Aguilera,Treasurer of State,,D,Warrick,Ohio 25,692,72,43,0
Larry D. Bucshon,U.S. House,8,R,Warrick,Ohio 25,692,195,80,0
William Tanoos,U.S. House,8,D,Warrick,Ohio 25,692,73,45,0
Write-In,U.S. House,8,,Warrick,Ohio 25,692,0,0,0
Ron Bacon,State House,75,R,Warrick,Ohio 25,692,179,80,0
John Hurley,State House,75,D,Warrick,Ohio 25,692,90,46,0
J. Zach Winsett,Judge of Superior Court No. 1,,R,Warrick,Ohio 25,692,223,102,0
No Candidate Filed,Judge of Superior Court No. 1,,D,Warrick,Ohio 25,692,0,0,0
Amy Steinkamp Miskimen,Judge of Superior Court No. 2,,R,Warrick,Ohio 25,692,225,100,0
No Candidate Filed,Judge of Superior Court No. 2,,D,Warrick,Ohio 25,692,0,0,0
Michael J. Perry,Prosecuting Attorney 2nd Circuit,,R,Warrick,Ohio 25,692,224,98,0
No Candidate Filed,Prosecuting Attorney 2nd Circuit,,D,Warrick,Ohio 25,692,0,0,0
"Deborah ""Debbie"" Stevens",County Auditor,,R,Warrick,Ohio 25,692,189,82,0
Chelsea Ballis,County Auditor,,D,Warrick,Ohio 25,692,79,42,0
Michael Wilder,County Sheriff,,R,Warrick,Ohio 25,692,231,102,0
No Candidate Filed,County Sheriff,,D,Warrick,Ohio 25,692,0,0,0
Sarah E. Redman,County Assessor,,R,Warrick,Ohio 25,692,227,101,0
No Candidate Filed,County Assessor,,D,Warrick,Ohio 25,692,0,0,0
Terry Phillippe,Co Commissioner,2,R,Warrick,Ohio 25,692,188,78,0
Mark Warren,Co Commissioner,2,D,Warrick,Ohio 25,692,77,46,0
Greg Richmond,County Council,3,R,Warrick,Ohio 25,692,193,82,0
Jenni Ransom,County Council,3,D,Warrick,Ohio 25,692,75,40,0
Chad Bennett,Ohio Twp Trustee,,R,Warrick,Ohio 25,692,186,83,0
Grant L. Gerling,Ohio Twp Trustee,,D,Warrick,Ohio 25,692,79,39,0
Nancy Grimes Bennett,Ohio Twp Advisory Board,,R,Warrick,Ohio 25,692,161,65,0
Debbie Reid,Ohio Twp Advisory Board,,R,Warrick,Ohio 25,692,153,69,0
Michael Wilson,Ohio Twp Advisory Board,,R,Warrick,Ohio 25,692,158,70,0
John C. Barner,Ohio Twp Advisory Board,,D,Warrick,Ohio 25,692,63,35,0
Mary Cole Platz,Ohio Twp Advisory Board,,D,Warrick,Ohio 25,692,52,35,0
"Kristopher ""Kris"" Stallins",Ohio Twp Advisory Board,,D,Warrick,Ohio 25,692,58,38,0
Jordan M. Aigner,School Board Member,,NP,Warrick,Ohio 25,692,78,33,0
Jeffrey B. Baker,School Board Member,,NP,Warrick,Ohio 25,692,107,38,0
Stephanie Gerhardt,School Board Member,,NP,Warrick,Ohio 25,692,99,36,0
Tabitha Heilman,School Board Member,,NP,Warrick,Ohio 25,692,63,29,0
Elissa Jones,School Board Member,,NP,Warrick,Ohio 25,692,40,22,0
Rick Dean Madden,School Board Member,,NP,Warrick,Ohio 25,692,50,25,0
Candace S. Nance,School Board Member,,NP,Warrick,Ohio 25,692,67,42,0
"""Nancy"" Anne J. Parker",School Board Member,,NP,Warrick,Ohio 25,692,53,23,0
Thomas L. Welch,School Board Member,,NP,Warrick,Ohio 25,692,84,33,0
Jane Wilhelmus,School Board Member,,NP,Warrick,Ohio 25,692,100,40,0
Yes,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 25,692,168,72,0
No,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 25,692,43,23,0
Yes,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 25,692,169,70,0
No,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 25,692,39,25,0
Yes,Public Question,,,Warrick,Ohio 19,733,209,78,0
No,Public Question,,,Warrick,Ohio 19,733,85,25,0
Mike Braun,U.S. Senate,,R,Warrick,Ohio 19,733,226,63,0
Joe Donnelly,U.S. Senate,,D,Warrick,Ohio 19,733,114,56,0
Lucy M. Brenton,U.S. Senate,,L,Warrick,Ohio 19,733,9,0,0
Write-In,U.S. Senate,,,Warrick,Ohio 19,733,0,0,0
Connie Lawson,Secretary of State,,R,Warrick,Ohio 19,733,240,68,0
Jim Harper,Secretary of State,,D,Warrick,Ohio 19,733,91,50,0
Mark W. Rutherford,Secretary of State,,L,Warrick,Ohio 19,733,12,0,0
Write-In,Secretary of State,,,Warrick,Ohio 19,733,0,0,0
Tera Klutz,Auditor of State,,R,Warrick,Ohio 19,733,232,65,0
Joselyn Whitticker,Auditor of State,,D,Warrick,Ohio 19,733,96,48,0
John Schick,Auditor of State,,L,Warrick,Ohio 19,733,11,4,0
Kelly Mitchell,Treasurer of State,,R,Warrick,Ohio 19,733,254,71,0
John C. Aguilera,Treasurer of State,,D,Warrick,Ohio 19,733,82,47,0
Larry D. Bucshon,U.S. House,8,R,Warrick,Ohio 19,733,254,65,0
William Tanoos,U.S. House,8,D,Warrick,Ohio 19,733,94,54,0
Write-In,U.S. House,8,,Warrick,Ohio 19,733,0,0,0
Ron Bacon,State House,75,R,Warrick,Ohio 19,733,250,69,0
John Hurley,State House,75,D,Warrick,Ohio 19,733,95,50,0
J. Zach Winsett,Judge of Superior Court No. 1,,R,Warrick,Ohio 19,733,290,79,0
No Candidate Filed,Judge of Superior Court No. 1,,D,Warrick,Ohio 19,733,0,0,0
Amy Steinkamp Miskimen,Judge of Superior Court No. 2,,R,Warrick,Ohio 19,733,289,82,0
No Candidate Filed,Judge of Superior Court No. 2,,D,Warrick,Ohio 19,733,0,0,0
Michael J. Perry,Prosecuting Attorney 2nd Circuit,,R,Warrick,Ohio 19,733,289,79,0
No Candidate Filed,Prosecuting Attorney 2nd Circuit,,D,Warrick,Ohio 19,733,0,0,0
"Deborah ""Debbie"" Stevens",County Auditor,,R,Warrick,Ohio 19,733,248,68,0
Chelsea Ballis,County Auditor,,D,Warrick,Ohio 19,733,89,50,0
Michael Wilder,County Sheriff,,R,Warrick,Ohio 19,733,292,81,0
No Candidate Filed,County Sheriff,,D,Warrick,Ohio 19,733,0,0,0
Sarah E. Redman,County Assessor,,R,Warrick,Ohio 19,733,289,80,0
No Candidate Filed,County Assessor,,D,Warrick,Ohio 19,733,0,0,0
Terry Phillippe,Co Commissioner,2,R,Warrick,Ohio 19,733,242,67,0
Mark Warren,Co Commissioner,2,D,Warrick,Ohio 19,733,98,50,0
Cindy Ledbetter,County Council,1,R,Warrick,Ohio 19,733,285,81,0
No Candidate Filed,County Council,1,D,Warrick,Ohio 19,733,0,0,0
Chad Bennett,Ohio Twp Trustee,,R,Warrick,Ohio 19,733,244,64,0
Grant L. Gerling,Ohio Twp Trustee,,D,Warrick,Ohio 19,733,91,52,0
Nancy Grimes Bennett,Ohio Twp Advisory Board,,R,Warrick,Ohio 19,733,213,61,0
Debbie Reid,Ohio Twp Advisory Board,,R,Warrick,Ohio 19,733,200,58,0
Michael Wilson,Ohio Twp Advisory Board,,R,Warrick,Ohio 19,733,207,57,0
John C. Barner,Ohio Twp Advisory Board,,D,Warrick,Ohio 19,733,68,41,0
Mary Cole Platz,Ohio Twp Advisory Board,,D,Warrick,Ohio 19,733,72,40,0
"Kristopher ""Kris"" Stallins",Ohio Twp Advisory Board,,D,Warrick,Ohio 19,733,77,37,0
Jordan M. Aigner,School Board Member,,NP,Warrick,Ohio 19,733,85,31,0
Jeffrey B. Baker,School Board Member,,NP,Warrick,Ohio 19,733,101,36,0
Stephanie Gerhardt,School Board Member,,NP,Warrick,Ohio 19,733,121,38,0
Tabitha Heilman,School Board Member,,NP,Warrick,Ohio 19,733,53,14,0
Elissa Jones,School Board Member,,NP,Warrick,Ohio 19,733,69,22,0
Rick Dean Madden,School Board Member,,NP,Warrick,Ohio 19,733,58,23,0
Candace S. Nance,School Board Member,,NP,Warrick,Ohio 19,733,91,26,0
"""Nancy"" Anne J. Parker",School Board Member,,NP,Warrick,Ohio 19,733,67,19,0
Thomas L. Welch,School Board Member,,NP,Warrick,Ohio 19,733,84,25,0
Jane Wilhelmus,School Board Member,,NP,Warrick,Ohio 19,733,131,39,0
Yes,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 19,733,218,66,0
No,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 19,733,42,21,0
Yes,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 19,733,221,70,0
No,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 19,733,39,17,0
Yes,Public Question,,,Warrick,Ohio 33,840,238,105,0
No,Public Question,,,Warrick,Ohio 33,840,51,13,0
Mike Braun,U.S. Senate,,R,Warrick,Ohio 33,840,222,81,0
Joe Donnelly,U.S. Senate,,D,Warrick,Ohio 33,840,117,64,0
Lucy M. Brenton,U.S. Senate,,L,Warrick,Ohio 33,840,5,2,0
Write-In,U.S. Senate,,,Warrick,Ohio 33,840,0,0,0
Connie Lawson,Secretary of State,,R,Warrick,Ohio 33,840,239,80,0
Jim Harper,Secretary of State,,D,Warrick,Ohio 33,840,95,60,0
Mark W. Rutherford,Secretary of State,,L,Warrick,Ohio 33,840,8,4,0
Write-In,Secretary of State,,,Warrick,Ohio 33,840,0,1,0
Tera Klutz,Auditor of State,,R,Warrick,Ohio 33,840,233,82,0
Joselyn Whitticker,Auditor of State,,D,Warrick,Ohio 33,840,97,56,0
John Schick,Auditor of State,,L,Warrick,Ohio 33,840,8,5,0
Kelly Mitchell,Treasurer of State,,R,Warrick,Ohio 33,840,249,87,0
John C. Aguilera,Treasurer of State,,D,Warrick,Ohio 33,840,91,55,0
Larry D. Bucshon,U.S. House,8,R,Warrick,Ohio 33,840,248,79,0
William Tanoos,U.S. House,8,D,Warrick,Ohio 33,840,96,66,0
Write-In,U.S. House,8,,Warrick,Ohio 33,840,0,0,0
Ron Bacon,State House,75,R,Warrick,Ohio 33,840,242,80,0
John Hurley,State House,75,D,Warrick,Ohio 33,840,100,64,0
J. Zach Winsett,Judge of Superior Court No. 1,,R,Warrick,Ohio 33,840,285,99,0
No Candidate Filed,Judge of Superior Court No. 1,,D,Warrick,Ohio 33,840,0,0,0
Amy Steinkamp Miskimen,Judge of Superior Court No. 2,,R,Warrick,Ohio 33,840,284,99,0
No Candidate Filed,Judge of Superior Court No. 2,,D,Warrick,Ohio 33,840,0,0,0
Michael J. Perry,Prosecuting Attorney 2nd Circuit,,R,Warrick,Ohio 33,840,282,99,0
No Candidate Filed,Prosecuting Attorney 2nd Circuit,,D,Warrick,Ohio 33,840,0,0,0
"Deborah ""Debbie"" Stevens",County Auditor,,R,Warrick,Ohio 33,840,238,84,0
Chelsea Ballis,County Auditor,,D,Warrick,Ohio 33,840,99,56,0
Michael Wilder,County Sheriff,,R,Warrick,Ohio 33,840,287,99,0
No Candidate Filed,County Sheriff,,D,Warrick,Ohio 33,840,0,0,0
Sarah E. Redman,County Assessor,,R,Warrick,Ohio 33,840,279,97,0
No Candidate Filed,County Assessor,,D,Warrick,Ohio 33,840,0,0,0
Terry Phillippe,Co Commissioner,2,R,Warrick,Ohio 33,840,237,81,0
Mark Warren,Co Commissioner,2,D,Warrick,Ohio 33,840,99,58,0
Greg Richmond,County Council,3,R,Warrick,Ohio 33,840,229,83,0
Jenni Ransom,County Council,3,D,Warrick,Ohio 33,840,109,57,0
Chad Bennett,Ohio Twp Trustee,,R,Warrick,Ohio 33,840,251,86,0
Grant L. Gerling,Ohio Twp Trustee,,D,Warrick,Ohio 33,840,88,55,0
Nancy Grimes Bennett,Ohio Twp Advisory Board,,R,Warrick,Ohio 33,840,207,68,0
Debbie Reid,Ohio Twp Advisory Board,,R,Warrick,Ohio 33,840,206,68,0
Michael Wilson,Ohio Twp Advisory Board,,R,Warrick,Ohio 33,840,206,62,0
John C. Barner,Ohio Twp Advisory Board,,D,Warrick,Ohio 33,840,79,43,0
Mary Cole Platz,Ohio Twp Advisory Board,,D,Warrick,Ohio 33,840,86,44,0
"Kristopher ""Kris"" Stallins",Ohio Twp Advisory Board,,D,Warrick,Ohio 33,840,79,44,0
Jordan M. Aigner,School Board Member,,NP,Warrick,Ohio 33,840,100,30,0
Jeffrey B. Baker,School Board Member,,NP,Warrick,Ohio 33,840,101,33,0
Stephanie Gerhardt,School Board Member,,NP,Warrick,Ohio 33,840,106,41,0
Tabitha Heilman,School Board Member,,NP,Warrick,Ohio 33,840,52,33,0
Elissa Jones,School Board Member,,NP,Warrick,Ohio 33,840,60,26,0
Rick Dean Madden,School Board Member,,NP,Warrick,Ohio 33,840,60,26,0
Candace S. Nance,School Board Member,,NP,Warrick,Ohio 33,840,85,37,0
"""Nancy"" Anne J. Parker",School Board Member,,NP,Warrick,Ohio 33,840,73,29,0
Thomas L. Welch,School Board Member,,NP,Warrick,Ohio 33,840,93,28,0
Jane Wilhelmus,School Board Member,,NP,Warrick,Ohio 33,840,116,45,0
Yes,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 33,840,207,88,0
No,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 33,840,39,19,0
Yes,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 33,840,201,90,0
No,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 33,840,43,15,0
Yes,Public Question,,,Warrick,Ohio 27,784,206,70,0
No,Public Question,,,Warrick,Ohio 27,784,77,34,0
Mike Braun,U.S. Senate,,R,Warrick,Ohio 27,784,196,76,0
Joe Donnelly,U.S. Senate,,D,Warrick,Ohio 27,784,123,44,0
Lucy M. Brenton,U.S. Senate,,L,Warrick,Ohio 27,784,19,3,0
Write-In,U.S. Senate,,,Warrick,Ohio 27,784,0,0,0
Connie Lawson,Secretary of State,,R,Warrick,Ohio 27,784,208,81,0
Jim Harper,Secretary of State,,D,Warrick,Ohio 27,784,115,36,0
Mark W. Rutherford,Secretary of State,,L,Warrick,Ohio 27,784,9,2,0
Write-In,Secretary of State,,,Warrick,Ohio 27,784,1,0,0
Tera Klutz,Auditor of State,,R,Warrick,Ohio 27,784,207,82,0
Joselyn Whitticker,Auditor of State,,D,Warrick,Ohio 27,784,117,34,0
John Schick,Auditor of State,,L,Warrick,Ohio 27,784,7,3,0
Kelly Mitchell,Treasurer of State,,R,Warrick,Ohio 27,784,217,85,0
John C. Aguilera,Treasurer of State,,D,Warrick,Ohio 27,784,115,35,0
Larry D. Bucshon,U.S. House,8,R,Warrick,Ohio 27,784,212,80,0
William Tanoos,U.S. House,8,D,Warrick,Ohio 27,784,123,41,0
Write-In,U.S. House,8,,Warrick,Ohio 27,784,0,0,0
Ron Bacon,State House,75,R,Warrick,Ohio 27,784,215,76,0
John Hurley,State House,75,D,Warrick,Ohio 27,784,119,46,0
J. Zach Winsett,Judge of Superior Court No. 1,,R,Warrick,Ohio 27,784,269,99,0
No Candidate Filed,Judge of Superior Court No. 1,,D,Warrick,Ohio 27,784,0,0,0
Amy Steinkamp Miskimen,Judge of Superior Court No. 2,,R,Warrick,Ohio 27,784,272,100,0
No Candidate Filed,Judge of Superior Court No. 2,,D,Warrick,Ohio 27,784,0,0,0
Michael J. Perry,Prosecuting Attorney 2nd Circuit,,R,Warrick,Ohio 27,784,269,94,0
No Candidate Filed,Prosecuting Attorney 2nd Circuit,,D,Warrick,Ohio 27,784,0,0,0
"Deborah ""Debbie"" Stevens",County Auditor,,R,Warrick,Ohio 27,784,218,80,0
Chelsea Ballis,County Auditor,,D,Warrick,Ohio 27,784,113,35,0
Michael Wilder,County Sheriff,,R,Warrick,Ohio 27,784,276,97,0
No Candidate Filed,County Sheriff,,D,Warrick,Ohio 27,784,0,0,0
Sarah E. Redman,County Assessor,,R,Warrick,Ohio 27,784,265,93,0
No Candidate Filed,County Assessor,,D,Warrick,Ohio 27,784,0,0,0
Terry Phillippe,Co Commissioner,2,R,Warrick,Ohio 27,784,215,81,0
Mark Warren,Co Commissioner,2,D,Warrick,Ohio 27,784,117,37,0
Cindy Ledbetter,County Council,1,R,Warrick,Ohio 27,784,264,95,0
No Candidate Filed,County Council,1,D,Warrick,Ohio 27,784,0,0,0
Chad Bennett,Ohio Twp Trustee,,R,Warrick,Ohio 27,784,231,91,0
Grant L. Gerling,Ohio Twp Trustee,,D,Warrick,Ohio 27,784,103,30,0
Nancy Grimes Bennett,Ohio Twp Advisory Board,,R,Warrick,Ohio 27,784,189,72,0
Debbie Reid,Ohio Twp Advisory Board,,R,Warrick,Ohio 27,784,175,74,0
Michael Wilson,Ohio Twp Advisory Board,,R,Warrick,Ohio 27,784,178,71,0
John C. Barner,Ohio Twp Advisory Board,,D,Warrick,Ohio 27,784,99,33,0
Mary Cole Platz,Ohio Twp Advisory Board,,D,Warrick,Ohio 27,784,105,33,0
"Kristopher ""Kris"" Stallins",Ohio Twp Advisory Board,,D,Warrick,Ohio 27,784,106,31,0
Jordan M. Aigner,School Board Member,,NP,Warrick,Ohio 27,784,70,31,0
Jeffrey B. Baker,School Board Member,,NP,Warrick,Ohio 27,784,106,35,0
Stephanie Gerhardt,School Board Member,,NP,Warrick,Ohio 27,784,128,32,0
Tabitha Heilman,School Board Member,,NP,Warrick,Ohio 27,784,93,30,0
Elissa Jones,School Board Member,,NP,Warrick,Ohio 27,784,83,17,0
Rick Dean Madden,School Board Member,,NP,Warrick,Ohio 27,784,65,16,0
Candace S. Nance,School Board Member,,NP,Warrick,Ohio 27,784,113,37,0
"""Nancy"" Anne J. Parker",School Board Member,,NP,Warrick,Ohio 27,784,97,23,0
Thomas L. Welch,School Board Member,,NP,Warrick,Ohio 27,784,72,28,0
Jane Wilhelmus,School Board Member,,NP,Warrick,Ohio 27,784,132,50,0
Yes,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 27,784,203,71,0
No,Justice IN Supreme Ct Slaughter,,,Warrick,Ohio 27,784,65,22,0
Yes,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 27,784,202,74,0
No,Judge IN Ct Appeals D2 Altice,,,Warrick,Ohio 27,784,66,21,0
Yes,Public Question,,,Warrick,Boon 14,275,52,11,0
No,Public Question,,,Warrick,Boon 14,275,8,3,0
Mike Braun,U.S. Senate,,R,Warrick,Boon 14,275,34,8,0
Joe Donnelly,U.S. Senate,,D,Warrick,Boon 14,275,33,11,0
Lucy M. Brenton,U.S. Senate,,L,Warrick,Boon 14,275,7,0,0
Write-In,U.S. Senate,,,Warrick,Boon 14,275,0,0,0
Connie Lawson,Secretary of State,,R,Warrick,Boon 14,275,38,8,0
Jim Harper,Secretary of State,,D,Warrick,Boon 14,275,27,9,0
Mark W. Rutherford,Secretary of State,,L,Warrick,Boon 14,275,7,2,0
Write-In,Secretary of State,,,Warrick,Boon 14,275,0,0,0
Tera Klutz,Auditor of State,,R,Warrick,Boon 14,275,33,8,0
Joselyn Whitticker,Auditor of State,,D,Warrick,Boon 14,275,32,10,0
John Schick,Auditor of State,,L,Warrick,Boon 14,275,7,1,0
Kelly Mitchell,Treasurer of State,,R,Warrick,Boon 14,275,42,11,0
John C. Aguilera,Treasurer of State,,D,Warrick,Boon 14,275,29,8,0
Larry D. Bucshon,U.S. House,8,R,Warrick,Boon 14,275,42,8,0
William Tanoos,U.S. House,8,D,Warrick,Boon 14,275,31,11,0
Write-In,U.S. House,8,,Warrick,Boon 14,275,0,0,0
Ron Bacon,State House,75,R,Warrick,Boon 14,275,40,11,0
John Hurley,State House,75,D,Warrick,Boon 14,275,32,8,0
J. Zach Winsett,Judge of Superior Court No. 1,,R,Warrick,Boon 14,275,58,15,0
No Candidate Filed,Judge of Superior Court No. 1,,D,Warrick,Boon 14,275,0,0,0
Amy Steinkamp Miskimen,Judge of Superior Court No. 2,,R,Warrick,Boon 14,275,58,16,0
No Candidate Filed,Judge of Superior Court No. 2,,D,Warrick,Boon 14,275,0,0,0
Michael J. Perry,Prosecuting Attorney 2nd Circuit,,R,Warrick,Boon 14,275,59,15,0
No Candidate Filed,Prosecuting Attorney 2nd Circuit,,D,Warrick,Boon 14,275,0,0,0
"Deborah ""Debbie"" Stevens",County Auditor,,R,Warrick,Boon 14,275,36,8,0
Chelsea Ballis,County Auditor,,D,Warrick,Boon 14,275,36,11,0
Michael Wilder,County Sheriff,,R,Warrick,Boon 14,275,60,14,0
No Candidate Filed,County Sheriff,,D,Warrick,Boon 14,275,0,0,0
Sarah E. Redman,County Assessor,,R,Warrick,Boon 14,275,58,15,0
No Candidate Filed,County Assessor,,D,Warrick,Boon 14,275,0,0,0
Terry Phillippe,Co Commissioner,2,R,Warrick,Boon 14,275,37,8,0
Mark Warren,Co Commissioner,2,D,Warrick,Boon 14,275,35,11,0
David P. Hachmeister,County Council,4,R,Warrick,Boon 14,275,39,8,0
Nancy Ann Woolsey,County Council,4,D,Warrick,Boon 14,275,34,11,0
